Elevation,RFS_Azimuth,RFS_Range,RangeError_BT_2_and_10,Height_Metres,MSID,RangeStdDev BT_2_and_10
4.728601972,300.1739502,27.125,25.89023276,5388.293544,x76CD14,14.05890215
4.673848564,300.3991699,27.5546875,37.32070786,5410.590422,x76CD14,14.05890215
4.643334049,300.6298828,27.97265625,19.17656583,5454.006059,x76CD14,14.05890215
4.628645048,300.8166504,28.39453125,29.45486436,5509.26,x76CD14,14.05890215
4.585278409,301.0308838,28.82421875,30.23878585,5539.74,x76CD14,14.05890215
4.54449633,301.2451172,29.25,69.59884682,5567.535367,x76CD14,14.05890215
4.501094617,301.4428711,29.6796875,59.42937206,5596.794499,x76CD14,14.05890215
4.448158385,301.6186523,30.1015625,32.00591405,5615.94,x76CD14,14.05890215
4.402302295,301.8218994,30.53125,40.73106569,5638.8,x76CD14,14.05890215
4.35268263,302.008667,30.9609375,26.52404514,5658.694291,x76CD14,14.05890215
4.303501848,302.1679688,31.39453125,29.46981384,5676.9,x76CD14,14.05890215
4.274990244,302.3327637,31.82421875,25.33955373,5715,x76CD14,14.05890215
4.240222535,302.5085449,32.26171875,40.81885925,5745.48,x76CD14,14.05890215
4.197336425,302.6898193,32.69921875,34.66393004,5768.34,x76CD14,14.05890215
4.161033525,302.8216553,33.13671875,36.4320121,5796.457623,x76CD14,14.05890215
4.12020378,302.9754639,33.57421875,36.47442578,5818.902244,x76CD14,14.05890215
4.09466281,303.1402588,34.01171875,28.99705737,5857.650167,x76CD14,14.05890215
4.060257872,303.2885742,34.44921875,20.49762599,5886.023497,x76CD14,14.05890215
4.029093379,303.4368896,34.88671875,23.33726552,5916.250463,x76CD14,14.05890215
3.992849596,303.5687256,35.328125,32.09858973,5940.028747,x76CD14,14.05890215
3.9516289,303.7225342,35.7734375,26.80929117,5958.84077,x76CD14,14.05890215
3.915415054,303.848877,36.21484375,23.30650094,5981.7,x76CD14,14.05890215
3.869016507,303.9971924,36.6640625,55.02887677,5989.981247,x76CD14,14.05890215
3.855522631,304.1125488,37.109375,54.4122588,6038.329256,x76CD14,14.05890215
3.82302604,304.2388916,37.5546875,20.51083323,6065.99625,x76CD14,14.05890215
3.789360275,304.3707275,38.0078125,39.92247244,6088.38,x76CD14,14.05890215
3.761845824,304.486084,38.45703125,34.69711376,6118.86,x76CD14,14.05890215
3.723014369,304.6069336,38.91015625,39.09137352,6134.280975,x76CD14,14.05890215
3.692223156,304.7113037,39.359375,61.52992355,6156.96,x76CD14,14.05890215
3.658891719,304.8376465,39.8125,35.38477294,6179.82,x76CD14,14.05890215
3.624367307,304.9365234,40.26953125,41.05249828,6198.405485,x76CD14,14.05890215
3.600047557,305.0518799,40.72265625,26.18696582,6230.468876,x76CD14,14.05890215
3.571210265,305.1507568,41.1796875,17.30414532,6256.02,x76CD14,14.05890215
3.551636875,305.2496338,41.63671875,36.88434048,6291.154159,x76CD14,14.05890215
3.531847364,305.3594971,42.09375,28.18096501,6327.624257,x76CD14,14.05890215
3.515632488,305.4803467,42.55078125,34.7440488,6367.397429,x76CD14,14.05890215
3.511234839,305.557251,43.00390625,27.57218859,6423.66,x76CD14,14.05890215
3.490781933,305.6341553,43.4609375,32.00674484,6457.098742,x76CD14,14.05890215
3.46113965,305.8374023,44.3671875,23.61404455,6538.815715,x76CD14,14.05890215
3.444395182,305.9033203,44.82421875,25.53164224,6576.491198,x76CD14,14.05890215
3.426073583,306.0241699,45.27734375,32.09887957,6610.618614,x76CD14,14.05890215
3.407679957,306.1010742,45.7265625,30.07786723,6644.315745,x76CD14,14.05890215
3.384891549,306.1724854,46.18359375,31.13680596,6671.870078,x76CD14,14.05890215
3.36189292,306.260376,46.63671875,32.85889965,6697.98,x76CD14,14.05890215
3.336358889,306.3537598,47.08984375,18.41698399,6720.84,x76CD14,14.05890215
3.31787497,306.4251709,47.546875,46.69956265,6751.32,x76CD14,14.05890215
3.268338939,306.5789795,48.45703125,16.5705238,6797.04,x76CD14,14.05890215
3.247614017,306.6448975,48.91796875,25.64404174,6824.397401,x76CD14,14.05890215
3.221491595,306.7108154,49.375,26.14451734,6842.76,x76CD14,14.05890215
3.198953527,306.7932129,49.8359375,42.45803038,6865.62,x76CD14,14.05890215
3.173743473,306.8756104,50.296875,36.68726423,6885.144152,x76CD14,14.05890215
3.152832864,306.9360352,50.76171875,34.19050647,6911.34,x76CD14,14.05890215
3.126551804,307.0184326,51.22265625,47.15970056,6926.58,x76CD14,14.05890215
3.104012254,307.0733643,51.6875,37.71794773,6949.44,x76CD14,14.05890215
3.077454942,307.1557617,52.15234375,32.64725417,6964.68,x76CD14,14.05890215
3.017029086,307.232666,52.6171875,29.61605048,6921.644413,x76CD14,14.05890215
3.0286466,307.265625,53.0859375,49.77872779,6999.110121,x76CD14,14.05890215
3.008888294,307.3425293,53.55078125,22.11360009,7025.64,x76CD14,14.05890215
2.983394192,307.4084473,54.02734375,49.77179781,7039.414615,x76CD14,14.05890215
2.9649256,307.4633789,54.4921875,23.53091175,7067.056035,x76CD14,14.05890215
2.947348933,307.5402832,54.96484375,35.66711616,7094.22,x76CD14,14.05890215
2.929341906,307.600708,55.4375,30.36369392,7121.375199,x76CD14,14.05890215
2.908789884,307.6776123,55.91015625,31.78437954,7143.060678,x76CD14,14.05890215
2.889026627,307.7215576,56.3828125,34.42028342,7165.592372,x76CD14,14.05890215
2.874761458,307.7819824,56.85546875,28.03676037,7198.3209,x76CD14,14.05890215
2.855663034,307.8479004,57.328125,33.56337816,7221.007461,x76CD14,14.05890215
2.835474906,307.902832,57.8046875,31.12847162,7242.208619,x76CD14,14.05890215
2.82002471,307.9412842,58.2734375,40.13153173,7270.102074,x76CD14,14.05890215
2.808804835,307.9962158,58.75,42.39667343,7307.058974,x76CD14,14.05890215
2.794483202,308.0456543,59.22265625,34.54709837,7338.06,x76CD14,14.05890215
2.776962663,308.1005859,59.6953125,52.03048602,7360.92,x76CD14,14.05890215
2.760465453,308.1555176,60.16796875,26.10719476,7388.200857,x76CD14,14.05890215
2.74214946,308.1665039,60.6484375,30.34914544,7410.506861,x76CD14,14.05890215
2.726608723,308.2543945,61.12109375,31.16873961,7437.12,x76CD14,14.05890215
2.708109461,308.3203125,61.59765625,32.78881886,7457.921051,x76CD14,14.05890215
2.6877068,308.3422852,62.0703125,15.55230443,7475.22,x76CD14,14.05890215
2.670644811,308.3587646,62.5546875,30.32872372,7498.08,x76CD14,14.05890215
2.649811389,308.4521484,63.0390625,38.17131121,7513.32,x76CD14,14.05890215
2.634956992,308.4521484,63.51171875,32.42634044,7539.760827,x76CD14,14.05890215
2.610526167,308.5345459,63.9921875,62.09618092,7544.76547,x76CD14,14.05890215
2.604210139,308.572998,64.4765625,56.51542182,7589.52,x76CD14,14.05890215
2.583903938,308.6224365,64.9609375,20.99411852,7606.812896,x76CD14,14.05890215
2.570505084,308.6553955,65.44140625,24.09332469,7635.24,x76CD14,14.05890215
2.537605702,308.7268066,66.41015625,28.34232607,7679.19689,x76CD14,14.05890215
2.522325384,308.7817383,66.89453125,19.37584044,7703.82,x76CD14,14.05890215
2.510468058,308.8092041,67.375,22.56671088,7734.3,x76CD14,14.05890215
2.4929107,308.8751221,67.859375,20.06397007,7752.878074,x76CD14,14.05890215
2.462465613,308.9520264,68.8359375,42.49342337,7798.314795,x76CD14,14.05890215
2.445443949,308.973999,69.32421875,27.70096922,7818.12,x76CD14,14.05890215
2.425731218,309.0014648,69.8125,50.82424186,7829.080202,x76CD14,14.05890215
2.413440126,309.0673828,70.3046875,26.9992374,7859.761446,x76CD14,14.05890215
2.395914213,309.105835,70.79296875,27.38736998,7876.265947,x76CD14,14.05890215
2.380091425,309.1717529,71.28515625,66.21811277,7894.32,x76CD14,14.05890215
2.364939084,309.1607666,71.7734375,39.54112126,7917.18,x76CD14,14.05890215
2.343281516,309.2486572,72.265625,15.53228003,7924.8,x76CD14,14.05890215
2.332316764,309.2706299,72.76171875,25.8559133,7955.28,x76CD14,14.05890215
2.316099234,309.2980957,73.25390625,15.66640712,7973.947372,x76CD14,14.05890215
2.300742062,309.3145752,73.74609375,20.00527802,7993.38,x76CD14,14.05890215
2.285708576,309.375,74.24609375,28.98019575,8013.835005,x76CD14,14.05890215
2.269634976,309.4024658,74.73828125,22.74061514,8031.48,x76CD14,14.05890215
2.255131541,309.4683838,75.2421875,21.17272425,8053.592168,x76CD14,14.05890215
2.238783161,309.4903564,75.73828125,26.16615601,8069.58,x76CD14,14.05890215
2.225242985,309.5452881,76.234375,25.28599371,8092.44,x76CD14,14.05890215
2.211358743,309.5123291,76.73828125,19.90565207,8115.3,x76CD14,14.05890215
2.182332237,309.5617676,77.73828125,30.43981116,8154.748066,x76CD14,14.05890215
2.168288304,309.6276855,78.23828125,17.49117543,8176.26,x76CD14,14.05890215
2.155288858,309.6166992,78.73828125,20.79620351,8199.12,x76CD14,14.05890215
2.142012887,309.6606445,79.2421875,14.91198091,8221.98,x76CD14,14.05890215
2.113390354,309.7650146,80.25390625,33.13766689,8260.08,x76CD14,14.05890215
2.097369407,309.7869873,80.7578125,19.69677465,8275.32,x76CD14,14.05890215
2.068215663,309.8419189,81.765625,17.13999537,8310.79968,x76CD14,14.05890215
2.053832282,309.8748779,82.27734375,28.42445096,8328.66,x76CD14,14.05890215
2.023149556,309.9353027,83.296875,28.52229216,8359.14,x76CD14,14.05890215
2.005061132,309.9462891,83.80859375,26.20335775,8366.76,x76CD14,14.05890215
Elevation,RFS_Azimuth,RFS_Range,RangeError_BT_2_and_10,Height_Metres,MSID,RangeStdDev BT_2_and_10
2.667956092,0.477905273,39.8359375,10.53818927,4913.740756,x781149,9.790816568
2.683978156,1.098632813,39.19921875,14.15662807,4865.371624,x781149,9.790816568
2.884357659,7.360839844,32.23046875,10.14661845,4335.78,x781149,9.790816568
2.904972507,7.739868164,31.50390625,10.09057664,4276.573239,x781149,9.790816568
3.496032416,14.40856934,23.2890625,10.77783795,3828.416943,x781149,9.790816568
4.354156576,48.99353027,11.44140625,10.54350749,2696.234512,x781149,9.790816568
4.173011138,67.39562988,10.19140625,11.85527046,2453.64,x781149,9.790816568
4.005851724,74.85534668,10.00390625,10.41062865,2373.583297,x781149,9.790816568
3.940072685,76.7779541,9.96484375,13.74639302,2346.96,x781149,9.790816568
3.79530126,82.5567627,9.91015625,11.66946827,2293.62,x781149,9.790816568
3.769654997,84.5123291,9.9140625,10.55208354,2286,x781149,9.790816568
3.641461059,95.75683594,10.1875,14.75263863,2278.38,x781149,9.790816568
3.136027874,119.8278809,11.8046875,11.24324003,2286,x781149,9.790816568
3.08966558,122.9205322,11.8984375,9.958279528,2278.38,x781149,9.790816568
3.072525439,124.4476318,11.9609375,10.43988932,2278.38,x781149,9.790816568
3.052893376,125.9802246,12.03515625,14.41037781,2278.38,x781149,9.790816568
2.851473748,135.8404541,12.82421875,10.43317627,2278.38,x781149,9.790816568
2.713595604,139.6636963,13.265625,10.27240584,2263.14,x781149,9.790816568
2.67943541,140.6854248,13.421875,10.80657581,2263.14,x781149,9.790816568
2.646091023,142.9156494,13.7421875,11.74429636,2278.38,x781149,9.790816568
2.577343542,144.9536133,14.08203125,11.62824956,2278.746988,x781149,9.790816568
2.381669967,148.6340332,14.8515625,20.51094604,2254.618377,x781149,9.790816568
2.292821159,149.3261719,15.09765625,11.33069092,2232.66,x781149,9.790816568
2.205636226,149.9578857,15.3515625,24.0452858,2209.8,x781149,9.790816568
9.21531922,324.7558594,14.65625,13.13031761,5454.269,x781149,9.790816568
7.861051538,323.3605957,18.765625,11.46759873,5897.88,x781149,9.790816568
7.550151013,323.0639648,20.0234375,31.44715042,6027.42,x781149,9.790816568
6.67193167,322.2674561,24.296875,18.75335709,6435.546809,x781149,9.790816568
6.56608478,322.1356201,25.16015625,32.21997042,6545.58,x781149,9.790816568
6.400156931,322.1136475,26.44921875,11.16476303,6697.98,x781149,9.790816568
5.237267693,324.7229004,36.375,44.13041544,7550.801005,x781149,9.790816568
5.174933374,324.9591064,37.69140625,28.0969475,7725.435918,x781149,9.790816568
4.949556085,325.4370117,40.35546875,16.04340459,7934.643247,x781149,9.790816568
4.837743721,325.6402588,41.6953125,25.11586055,8027.240902,x781149,9.790816568
4.770999859,325.7830811,42.5859375,15.94630621,8095.827928,x781149,9.790816568
4.340318552,326.4752197,48.0703125,30.67872872,8405.851025,x781149,9.790816568
3.994038373,326.9970703,53.24609375,15.76465155,8679.18,x781149,9.790816568
3.961852609,327.0410156,53.7265625,14.56210963,8699.323857,x781149,9.790816568
3.664981098,327.5244141,59.50390625,11.04094504,9044.94,x781149,9.790816568
3.503450114,327.755127,62.90234375,36.35064919,9229.284174,x781149,9.790816568
3.220768739,328.1231689,69.28125,12.48278875,9547.86,x781149,9.790816568
2.991588135,328.4197998,75.23046875,26.1704872,9840.574545,x781149,9.790816568
2.11932828,329.397583,106.1992188,31.35636901,11353.61134,x781149,9.790816568
2.102018317,329.4415283,106.6914063,38.5530267,11355.40544,x781149,9.790816568
Elevation,RFS_Azimuth,RFS_Range,RangeError_BT_2_and_10,Height_Metres,MSID,RangeStdDev BT_2_and_10
2.223432018,120.1135254,16.08984375,10.76198957,2278.38,x7C1464,10.73546212
4.398710085,104.7106934,16.421875,13.87310362,3456.76394,x7C1464,10.73546212
4.770050397,97.71240234,17.640625,13.69581988,3851.864785,x7C1464,10.73546212
